,Path,ImageId,Image Size,Voxel Size in mm,Dimension
10,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_12.nrrd,Acosa_Diseased_12.nrrd,"(512, 512, 224)","(0.3515619934, 0.3515619934, 0.625)",3
11,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_18.nrrd,Acosa_Diseased_18.nrrd,"(512, 512, 224)","(0.457031, 0.457031, 0.625)",3
12,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_10.nrrd,Acosa_Diseased_10.nrrd,"(512, 512, 224)","(0.3867189884, 0.3867189884, 0.625)",3
13,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_6.nrrd,Acosa_Diseased_6.nrrd,"(512, 512, 224)","(0.4414060116, 0.4414060116, 0.625)",3
14,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_20.nrrd,Acosa_Diseased_20.nrrd,"(512, 512, 224)","(0.4707030058, 0.4707030058, 0.6249999999999998)",3
15,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_16.nrrd,Acosa_Diseased_16.nrrd,"(512, 512, 224)","(0.46875, 0.46875, 0.625)",3
16,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_2.nrrd,Acosa_Diseased_2.nrrd,"(512, 512, 224)","(0.4375, 0.4375, 0.625)",3
17,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_19.nrrd,Acosa_Diseased_19.nrrd,"(512, 512, 168)","(0.43164100000000005, 0.43164100000000005, 0.6250000000000001)",3
18,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_11.nrrd,Acosa_Diseased_11.nrrd,"(512, 512, 224)","(0.49414100000000005, 0.49414100000000005, 0.6250000000000001)",3
19,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Diseased/CTCA/Diseased_8.nrrd,Acosa_Diseased_8.nrrd,"(512, 512, 224)","(0.398438, 0.398438, 0.625)",3
20,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_14.nrrd,Acosa_Normal_14.nrrd,"(512, 512, 216)","(0.36523400000000006, 0.36523400000000006, 0.625)",3
21,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_11.nrrd,Acosa_Normal_11.nrrd,"(512, 512, 212)","(0.306641, 0.306641, 0.625)",3
22,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_9.nrrd,Acosa_Normal_9.nrrd,"(512, 512, 224)","(0.3789060000000001, 0.3789060000000001, 0.6250000000000001)",3
23,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_6.nrrd,Acosa_Normal_6.nrrd,"(512, 512, 217)","(0.3945310000000001, 0.3945310000000001, 0.625)",3
24,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_18.nrrd,Acosa_Normal_18.nrrd,"(512, 512, 168)","(0.349609, 0.349609, 0.6249999999999998)",3
25,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_12.nrrd,Acosa_Normal_12.nrrd,"(512, 512, 206)","(0.369141, 0.369141, 0.625)",3
26,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_10.nrrd,Acosa_Normal_10.nrrd,"(512, 512, 209)","(0.43554700000000013, 0.43554700000000013, 0.6250000000000001)",3
27,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_19.nrrd,Acosa_Normal_19.nrrd,"(512, 512, 224)","(0.38476601240000013, 0.38476601240000013, 0.625)",3
28,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_7.nrrd,Acosa_Normal_7.nrrd,"(512, 512, 202)","(0.400391, 0.400391, 0.6249999999999998)",3
29,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_1.nrrd,Acosa_Normal_1.nrrd,"(512, 512, 204)","(0.41601600000000005, 0.41601600000000005, 0.6250000000000001)",3
30,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_15.nrrd,Acosa_Normal_15.nrrd,"(512, 512, 207)","(0.3847659999999999, 0.3847659999999999, 0.625)",3
31,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_16.nrrd,Acosa_Normal_16.nrrd,"(512, 512, 207)","(0.349609, 0.349609, 0.6249999999999996)",3
32,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_17.nrrd,Acosa_Normal_17.nrrd,"(512, 512, 224)","(0.359375, 0.359375, 0.6249999999999998)",3
33,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_3.nrrd,Acosa_Normal_3.nrrd,"(512, 512, 212)","(0.382812, 0.382812, 0.625)",3
34,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_5.nrrd,Acosa_Normal_5.nrrd,"(512, 512, 201)","(0.35156199999999993, 0.35156199999999993, 0.6249999999999999)",3
35,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_13.nrrd,Acosa_Normal_13.nrrd,"(512, 512, 199)","(0.333984, 0.333984, 0.625)",3
36,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_2.nrrd,Acosa_Normal_2.nrrd,"(512, 512, 183)","(0.404297, 0.404297, 0.625)",3
37,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_8.nrrd,Acosa_Normal_8.nrrd,"(512, 512, 224)","(0.404297, 0.404297, 0.625)",3
38,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_4.nrrd,Acosa_Normal_4.nrrd,"(512, 512, 211)","(0.380859, 0.380859, 0.6250000000000002)",3
39,/media/mrsmile/IA/tesis/data/dataset/asoca/CompressedVersion/Normal/CTCA/Normal_20.nrrd,Acosa_Normal_20.nrrd,"(512, 512, 224)","(0.4199219942000001, 0.4199219942000001, 0.625)",3
40,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/508.img.nii.gz,Imagecas_508.img.nii.gz,"(512, 512, 275)","(0.3671875, 0.3671875, 0.5)",3
41,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/517.img.nii.gz,Imagecas_517.img.nii.gz,"(512, 512, 275)","(0.396484375, 0.396484375, 0.5)",3
42,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/593.img.nii.gz,Imagecas_593.img.nii.gz,"(512, 512, 275)","(0.396484375, 0.396484375, 0.5)",3
43,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/552.img.nii.gz,Imagecas_552.img.nii.gz,"(512, 512, 275)","(0.390625, 0.390625, 0.5)",3
44,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/533.img.nii.gz,Imagecas_533.img.nii.gz,"(512, 512, 241)","(0.3515625, 0.3515625, 0.5)",3
45,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/429.img.nii.gz,Imagecas_429.img.nii.gz,"(512, 512, 275)","(0.365234375, 0.365234375, 0.5)",3
46,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/456.img.nii.gz,Imagecas_456.img.nii.gz,"(512, 512, 241)","(0.353515625, 0.353515625, 0.5)",3
47,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/600.img.nii.gz,Imagecas_600.img.nii.gz,"(512, 512, 219)","(0.35546875, 0.35546875, 0.5)",3
48,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/440.img.nii.gz,Imagecas_440.img.nii.gz,"(512, 512, 275)","(0.390625, 0.390625, 0.5)",3
49,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/408.img.nii.gz,Imagecas_408.img.nii.gz,"(512, 512, 275)","(0.33203125, 0.33203125, 0.5)",3
50,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/476.img.nii.gz,Imagecas_476.img.nii.gz,"(512, 512, 245)","(0.341796875, 0.341796875, 0.5)",3
51,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/473.img.nii.gz,Imagecas_473.img.nii.gz,"(512, 512, 275)","(0.38671875, 0.38671875, 0.5)",3
52,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/556.img.nii.gz,Imagecas_556.img.nii.gz,"(512, 512, 275)","(0.435546875, 0.435546875, 0.5)",3
53,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/550.img.nii.gz,Imagecas_550.img.nii.gz,"(512, 512, 275)","(0.34765625, 0.34765625, 0.5)",3
54,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/500.img.nii.gz,Imagecas_500.img.nii.gz,"(512, 512, 275)","(0.359375, 0.359375, 0.5)",3
55,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/411.img.nii.gz,Imagecas_411.img.nii.gz,"(512, 512, 275)","(0.376953125, 0.376953125, 0.5)",3
56,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/587.img.nii.gz,Imagecas_587.img.nii.gz,"(512, 512, 275)","(0.328125, 0.328125, 0.5)",3
57,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/471.img.nii.gz,Imagecas_471.img.nii.gz,"(512, 512, 275)","(0.421875, 0.421875, 0.5)",3
58,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/576.img.nii.gz,Imagecas_576.img.nii.gz,"(512, 512, 239)","(0.34765625, 0.34765625, 0.5)",3
59,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/426.img.nii.gz,Imagecas_426.img.nii.gz,"(512, 512, 206)","(0.318359375, 0.318359375, 0.5)",3
60,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/459.img.nii.gz,Imagecas_459.img.nii.gz,"(512, 512, 253)","(0.33984375, 0.33984375, 0.5)",3
61,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/565.img.nii.gz,Imagecas_565.img.nii.gz,"(512, 512, 206)","(0.318359375, 0.318359375, 0.5)",3
62,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/486.img.nii.gz,Imagecas_486.img.nii.gz,"(512, 512, 275)","(0.318359375, 0.318359375, 0.5)",3
63,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/509.img.nii.gz,Imagecas_509.img.nii.gz,"(512, 512, 275)","(0.373046875, 0.373046875, 0.5)",3
64,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/479.img.nii.gz,Imagecas_479.img.nii.gz,"(512, 512, 247)","(0.318359375, 0.318359375, 0.5)",3
65,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/401.img.nii.gz,Imagecas_401.img.nii.gz,"(512, 512, 275)","(0.345703125, 0.345703125, 0.5)",3
66,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/447.img.nii.gz,Imagecas_447.img.nii.gz,"(512, 512, 245)","(0.34765625, 0.34765625, 0.5)",3
67,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/477.img.nii.gz,Imagecas_477.img.nii.gz,"(512, 512, 253)","(0.341796875, 0.341796875, 0.5)",3
68,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/544.img.nii.gz,Imagecas_544.img.nii.gz,"(512, 512, 275)","(0.37109375, 0.37109375, 0.5)",3
69,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/467.img.nii.gz,Imagecas_467.img.nii.gz,"(512, 512, 275)","(0.345703125, 0.345703125, 0.5)",3
70,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/537.img.nii.gz,Imagecas_537.img.nii.gz,"(512, 512, 275)","(0.3828125, 0.3828125, 0.5)",3
71,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/545.img.nii.gz,Imagecas_545.img.nii.gz,"(512, 512, 247)","(0.349609375, 0.349609375, 0.5)",3
72,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/598.img.nii.gz,Imagecas_598.img.nii.gz,"(512, 512, 275)","(0.37890625, 0.37890625, 0.5)",3
73,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/454.img.nii.gz,Imagecas_454.img.nii.gz,"(512, 512, 249)","(0.361328125, 0.361328125, 0.5)",3
74,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/499.img.nii.gz,Imagecas_499.img.nii.gz,"(512, 512, 275)","(0.328125, 0.328125, 0.5)",3
75,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/463.img.nii.gz,Imagecas_463.img.nii.gz,"(512, 512, 237)","(0.318359375, 0.318359375, 0.5)",3
76,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/419.img.nii.gz,Imagecas_419.img.nii.gz,"(512, 512, 206)","(0.318359375, 0.318359375, 0.5)",3
77,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/497.img.nii.gz,Imagecas_497.img.nii.gz,"(512, 512, 241)","(0.41015625, 0.41015625, 0.5)",3
78,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/439.img.nii.gz,Imagecas_439.img.nii.gz,"(512, 512, 227)","(0.318359375, 0.318359375, 0.5)",3
79,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/489.img.nii.gz,Imagecas_489.img.nii.gz,"(512, 512, 239)","(0.34375, 0.34375, 0.5)",3
80,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/584.img.nii.gz,Imagecas_584.img.nii.gz,"(512, 512, 245)","(0.318359375, 0.318359375, 0.5)",3
81,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/503.img.nii.gz,Imagecas_503.img.nii.gz,"(512, 512, 275)","(0.408203125, 0.408203125, 0.5)",3
82,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/567.img.nii.gz,Imagecas_567.img.nii.gz,"(512, 512, 275)","(0.328125, 0.328125, 0.5)",3
83,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/534.img.nii.gz,Imagecas_534.img.nii.gz,"(512, 512, 275)","(0.33984375, 0.33984375, 0.5)",3
84,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/599.img.nii.gz,Imagecas_599.img.nii.gz,"(512, 512, 275)","(0.388671875, 0.388671875, 0.5)",3
85,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/437.img.nii.gz,Imagecas_437.img.nii.gz,"(512, 512, 251)","(0.345703125, 0.345703125, 0.5)",3
86,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/458.img.nii.gz,Imagecas_458.img.nii.gz,"(512, 512, 275)","(0.3671875, 0.3671875, 0.5)",3
87,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/531.img.nii.gz,Imagecas_531.img.nii.gz,"(512, 512, 275)","(0.345703125, 0.345703125, 0.5)",3
88,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/528.img.nii.gz,Imagecas_528.img.nii.gz,"(512, 512, 206)","(0.375, 0.375, 0.5)",3
89,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/442.img.nii.gz,Imagecas_442.img.nii.gz,"(512, 512, 275)","(0.3515625, 0.3515625, 0.5)",3
90,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/512.img.nii.gz,Imagecas_512.img.nii.gz,"(512, 512, 275)","(0.33984375, 0.33984375, 0.5)",3
91,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/592.img.nii.gz,Imagecas_592.img.nii.gz,"(512, 512, 206)","(0.33984375, 0.33984375, 0.5)",3
92,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/417.img.nii.gz,Imagecas_417.img.nii.gz,"(512, 512, 275)","(0.349609375, 0.349609375, 0.5)",3
93,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/519.img.nii.gz,Imagecas_519.img.nii.gz,"(512, 512, 206)","(0.318359375, 0.318359375, 0.5)",3
94,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/502.img.nii.gz,Imagecas_502.img.nii.gz,"(512, 512, 206)","(0.318359375, 0.318359375, 0.5)",3
95,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/422.img.nii.gz,Imagecas_422.img.nii.gz,"(512, 512, 275)","(0.365234375, 0.365234375, 0.5)",3
96,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/501.img.nii.gz,Imagecas_501.img.nii.gz,"(512, 512, 275)","(0.357421875, 0.357421875, 0.5)",3
97,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/570.img.nii.gz,Imagecas_570.img.nii.gz,"(512, 512, 275)","(0.318359375, 0.318359375, 0.5)",3
98,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/542.img.nii.gz,Imagecas_542.img.nii.gz,"(512, 512, 249)","(0.37890625, 0.37890625, 0.5)",3
99,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/416.img.nii.gz,Imagecas_416.img.nii.gz,"(512, 512, 206)","(0.2890625, 0.2890625, 0.5)",3
100,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/559.img.nii.gz,Imagecas_559.img.nii.gz,"(512, 512, 275)","(0.359375, 0.359375, 0.5)",3
101,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/407.img.nii.gz,Imagecas_407.img.nii.gz,"(512, 512, 275)","(0.388671875, 0.388671875, 0.5)",3
102,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/421.img.nii.gz,Imagecas_421.img.nii.gz,"(512, 512, 275)","(0.42578125, 0.42578125, 0.5)",3
103,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/470.img.nii.gz,Imagecas_470.img.nii.gz,"(512, 512, 275)","(0.396484375, 0.396484375, 0.5)",3
104,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/543.img.nii.gz,Imagecas_543.img.nii.gz,"(512, 512, 243)","(0.3515625, 0.3515625, 0.5)",3
105,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/504.img.nii.gz,Imagecas_504.img.nii.gz,"(512, 512, 275)","(0.359375, 0.359375, 0.5)",3
106,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/418.img.nii.gz,Imagecas_418.img.nii.gz,"(512, 512, 206)","(0.392578125, 0.392578125, 0.5)",3
107,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/468.img.nii.gz,Imagecas_468.img.nii.gz,"(512, 512, 275)","(0.404296875, 0.404296875, 0.5)",3
108,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/405.img.nii.gz,Imagecas_405.img.nii.gz,"(512, 512, 275)","(0.37109375, 0.37109375, 0.5)",3
109,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/569.img.nii.gz,Imagecas_569.img.nii.gz,"(512, 512, 275)","(0.392578125, 0.392578125, 0.5)",3
110,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/515.img.nii.gz,Imagecas_515.img.nii.gz,"(512, 512, 275)","(0.375, 0.375, 0.5)",3
111,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/431.img.nii.gz,Imagecas_431.img.nii.gz,"(512, 512, 249)","(0.318359375, 0.318359375, 0.5)",3
112,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/415.img.nii.gz,Imagecas_415.img.nii.gz,"(512, 512, 223)","(0.3671875, 0.3671875, 0.5)",3
113,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/448.img.nii.gz,Imagecas_448.img.nii.gz,"(512, 512, 275)","(0.375, 0.375, 0.5)",3
114,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/580.img.nii.gz,Imagecas_580.img.nii.gz,"(512, 512, 206)","(0.345703125, 0.345703125, 0.5)",3
115,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/436.img.nii.gz,Imagecas_436.img.nii.gz,"(512, 512, 206)","(0.3515625, 0.3515625, 0.5)",3
116,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/571.img.nii.gz,Imagecas_571.img.nii.gz,"(512, 512, 206)","(0.318359375, 0.318359375, 0.5)",3
117,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/560.img.nii.gz,Imagecas_560.img.nii.gz,"(512, 512, 275)","(0.37890625, 0.37890625, 0.5)",3
118,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/449.img.nii.gz,Imagecas_449.img.nii.gz,"(512, 512, 251)","(0.38671875, 0.38671875, 0.5)",3
119,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/564.img.nii.gz,Imagecas_564.img.nii.gz,"(512, 512, 275)","(0.36328125, 0.36328125, 0.5)",3
120,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/494.img.nii.gz,Imagecas_494.img.nii.gz,"(512, 512, 275)","(0.318359375, 0.318359375, 0.5)",3
121,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/577.img.nii.gz,Imagecas_577.img.nii.gz,"(512, 512, 275)","(0.318359375, 0.318359375, 0.5)",3
122,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/526.img.nii.gz,Imagecas_526.img.nii.gz,"(512, 512, 275)","(0.38671875, 0.38671875, 0.5)",3
123,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/516.img.nii.gz,Imagecas_516.img.nii.gz,"(512, 512, 275)","(0.31640625, 0.31640625, 0.5)",3
124,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/588.img.nii.gz,Imagecas_588.img.nii.gz,"(512, 512, 217)","(0.353515625, 0.353515625, 0.5)",3
125,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/487.img.nii.gz,Imagecas_487.img.nii.gz,"(512, 512, 206)","(0.33984375, 0.33984375, 0.5)",3
126,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/594.img.nii.gz,Imagecas_594.img.nii.gz,"(512, 512, 275)","(0.32421875, 0.32421875, 0.5)",3
127,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/453.img.nii.gz,Imagecas_453.img.nii.gz,"(512, 512, 206)","(0.341796875, 0.341796875, 0.5)",3
128,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/461.img.nii.gz,Imagecas_461.img.nii.gz,"(512, 512, 275)","(0.341796875, 0.341796875, 0.5)",3
129,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/464.img.nii.gz,Imagecas_464.img.nii.gz,"(512, 512, 247)","(0.318359375, 0.318359375, 0.5)",3
130,/media/mrsmile/IA/tesis/data/dataset/imagecas/archive/Dataset_401-600/401-600/506.img.nii.gz,Imagecas_506.img.nii.gz,"(512, 512, 241)","(0.369140625, 0.369140625, 0.5)",3
